Ranking,Jugador,Equipo,Total,Posicion
1,Talavera ,Toluca,3,Portero
1,Rodolfo Cota ,León FC,3,Portero
1,Sebastián Sosa ,Monarcas,3,Portero
1,Camilo Vargas ,Atlas,3,Portero
2,Corona ,Cruz Azul,2,Portero
2,Rodrigo Rey ,Pachuca,2,Portero
3,Alfredo Saldívar ,Pumas,1,Portero
3,Hugo González ,Necaxa,1,Portero
3,Sebastián Jurado ,Veracruz,1,Portero
3,Edmundo Vázquez ,Bravos,1,Portero
3,Toño Rodríguez ,Chivas,1,Portero
