Ranking,Jugador,Equipo,Total,Posicion
1,Guzmán ,Tigres,10,Portero
1,Marchesín ,América,10,Portero
1,Rodolfo Cota ,León FC,10,Portero
1,Luis Rodríguez ,Tigres,10,Centrocampista
2,Guido Rodríguez ,América,9,Centrocampista
2,Andrés Mosquera ,León FC,9,Defensa
2,William Tesillo ,León FC,9,Defensa
2,José Rodríguez ,León FC,9,Centrocampista
2,Navarro ,León FC,9,Defensa
3,Luis Montes ,León FC,8,Centrocampista
3,Marcelo Barovero ,Rayados,8,Portero
3,Ángel Mena ,León FC,8,Centrocampista
3,Ibarra,América,8,Centrocampista
3,Emanuel Aguilera ,América,8,Defensa
3,Hugo Ayala ,Tigres,8,Defensa
3,Guido Pizarro ,Tigres,8,Centrocampista
4,Gignac ,Tigres,7,Delantero
4,Edson Álvarez ,América,7,Defensa
4,Bruno Valdez ,América,7,Defensa
4,Francisco Meza ,Tigres,7,Defensa
