Ranking,Jugador,Equipo,Total,Posicion
1,Luis Montes ,León FC,923,Centrocampista
2,Edwin Cardona ,Pachuca,826,Centrocampista
3,Víctor Guzmán ,Pachuca,710,Centrocampista
4,Osvaldo Martínez ,Atlas,667,Centrocampista
5,Ibarra,América,660,Centrocampista
6,William Tesillo ,León FC,639,Defensa
7,Rafael Carioca ,Tigres,620,Centrocampista
8,Luis Rodríguez ,Tigres,610,Centrocampista
9,Ángel Mena ,León FC,598,Centrocampista
10,Navarro ,León FC,597,Defensa
11,José Rodríguez ,León FC,576,Centrocampista
12,Diego Valdés ,Santos Laguna,566,Centrocampista
13,Miller Bolaños ,Xolos,560,Centrocampista
14,Yoshimar Yotún ,Cruz Azul,536,Centrocampista
15,Jorge Hernández ,Pachuca,531,Centrocampista
16,Jesús Dueñas ,Tigres,518,Centrocampista
17,Abraham ,Lobos BUAP,516,Centrocampista
18,Víctor Malcorra ,Pumas,509,Centrocampista
19,Roberto Alvarado ,Cruz Azul,496,Centrocampista
20,Fernando Gonzalez ,Necaxa,489,Centrocampista
