Ranking,Jugador,Equipo,Total,Posicion
1,Guido Rodríguez ,América,66,Centrocampista
2,Luis Montes ,León FC,63,Centrocampista
3,Luis Rodríguez ,Tigres,61,Centrocampista
4,William Tesillo ,León FC,57,Defensa
5,Celso Ortiz ,Rayados,55,Centrocampista
6,Luis Quiñónes ,Tigres,54,Delantero
7,Paul Aguilar ,América,53,Defensa
8,José Rodríguez ,León FC,51,Centrocampista
9,Cristian Calderón ,Necaxa,49,Defensa
9,Navarro ,León FC,49,Defensa
10,Ignacio Rivero ,Xolos,48,Centrocampista
11,Josecarlos Van Rankin ,Chivas,46,Defensa
12,Gerardo Daniel Arteaga Zamora ,Santos Laguna,44,Defensa
12,Alan Mozo ,Pumas,44,Defensa
13,Abella ,Santos Laguna,43,Defensa
14,Vladimir Loroña ,Puebla,42,Defensa
14,Víctor Guzmán ,Pachuca,42,Centrocampista
14,Luis Fuentes ,Xolos,42,Defensa
15,Edson Álvarez ,América,41,Defensa
15,Diego Valdés ,Santos Laguna,41,Centrocampista
