Ranking,Jugador,Equipo,Total,Posicion
1,Gignac ,Tigres,31,Delantero
2,Víctor Guzmán ,Pachuca,26,Centrocampista
3,Dorlan Pabón ,Rayados,25,Delantero
3,Julio César ,Santos Laguna,25,Delantero
3,Edwin Cardona ,Pachuca,25,Centrocampista
4,Brian Fernández ,Necaxa,24,Centrocampista
5,Carlos González ,Pumas,23,Delantero
6,José Macías ,León FC,22,Delantero
6,Luis Montes ,León FC,22,Centrocampista
6,Camilo Sanvezzo ,Gallos Blancos,22,Delantero
7,Javier Correa ,Santos Laguna,21,Delantero
7,Enner Valencia ,Tigres,21,Delantero
7,Felipe Mora ,Pumas,21,Delantero
8,Juan Vigon ,Atlas,20,Centrocampista
8,Osvaldo Martínez ,Atlas,20,Centrocampista
8,Franco Jara ,Pachuca,20,Delantero
9,Rogelio Funes Mori ,Rayados,19,Delantero
9,Lucas Cavallini ,Puebla,19,Delantero
10,Vargas ,Tigres,18,Delantero
10,Ángel Mena ,León FC,18,Centrocampista
