Ranking,Jugador,Equipo,Total,Posicion
1,Luis Montes ,León FC,1338,Centrocampista
2,William Tesillo ,León FC,1176,Defensa
3,José Rodríguez ,León FC,1117,Centrocampista
4,Guido Pizarro ,Tigres,1088,Centrocampista
5,Rafael Carioca ,Tigres,1084,Centrocampista
6,Luis Rodríguez ,Tigres,1073,Centrocampista
7,Abraham ,Lobos BUAP,1054,Centrocampista
8,Jorge Hernández ,Pachuca,999,Centrocampista
9,Andrés Mosquera ,León FC,964,Defensa
9,Víctor Guzmán ,Pachuca,964,Centrocampista
10,Navarro ,León FC,963,Defensa
11,Hugo Ayala ,Tigres,950,Defensa
12,Edwin Cardona ,Pachuca,920,Centrocampista
13,Jesús Dueñas ,Tigres,837,Centrocampista
14,Carlos Salcedo ,Tigres,826,Defensa
15,Diego Rodríguez ,Xolos,819,Centrocampista
16,Guido Rodríguez ,América,814,Centrocampista
17,Diego Valdés ,Santos Laguna,801,Centrocampista
18,Julián Velázquez ,Xolos,786,Defensa
19,Aldo Rocha ,Monarcas,785,Centrocampista
