Ranking,Jugador,Equipo,Total,Posicion
1,William Tesillo ,León FC,64,Defensa
2,Julián Velázquez ,Xolos,55,Defensa
3,Luis Rodríguez ,Tigres,52,Centrocampista
3,Luis Fuentes ,Xolos,52,Defensa
4,Guzmán ,Tigres,51,Portero
5,Nicolás Sánchez ,Rayados,50,Defensa
6,Andrés Mosquera ,León FC,48,Defensa
6,Hiram Mier ,Chivas,48,Defensa
7,Ignacio Rivero ,Xolos,44,Centrocampista
7,Toño Rodríguez ,Lobos BUAP,44,Portero
7,Jesús Zavala ,Puebla,44,Centrocampista
8,Guido Rodríguez ,América,43,Centrocampista
8,Diego Rodríguez ,Xolos,43,Centrocampista
8,Ventura Alvarado ,Necaxa,43,Defensa
9,Alexis Peña ,Necaxa,42,Defensa
9,Navarro ,León FC,42,Defensa
10,Lampros Kotogiannis ,Veracruz,41,Defensa
11,Marcelo Barovero ,Rayados,40,Portero
11,Paul Aguilar ,América,40,Defensa
12,Jaine Barreiro ,Pachuca,39,Defensa
