Ranking,Jugador,Equipo,Total,Posicion
1,Gignac ,Tigres,60,Delantero
2,Ángel Mena ,León FC,47,Centrocampista
3,Franco Jara ,Pachuca,46,Delantero
4,Edwin Cardona ,Pachuca,45,Centrocampista
5,José Macías ,León FC,44,Delantero
6,Brian Fernández ,Necaxa,43,Centrocampista
7,Javier Correa ,Santos Laguna,42,Delantero
7,Víctor Guzmán ,Pachuca,42,Centrocampista
8,Rogelio Funes Mori ,Rayados,41,Delantero
8,Carlos González ,Pumas,41,Delantero
9,Luis Montes ,León FC,40,Centrocampista
9,Camilo Sanvezzo ,Gallos Blancos,40,Delantero
10,Bou ,Xolos,39,Delantero
11,Felipe Mora ,Pumas,38,Delantero
12,Dorlan Pabón ,Rayados,37,Delantero
12,Julio César ,Santos Laguna,37,Delantero
13,Juan Vigon ,Atlas,36,Centrocampista
14,Enner Valencia ,Tigres,35,Delantero
15,Caraglio ,Cruz Azul,34,Delantero
15,Alustiza ,Puebla,34,Delantero
