Ranking,Jugador,Equipo,Total,Posicion
1,Ibarra,América,187,Centrocampista
2,Víctor Malcorra ,Pumas,141,Centrocampista
3,Dorlan Pabón ,Rayados,139,Delantero
4,Osvaldo Martínez ,Atlas,104,Centrocampista
5,Edwin Cardona ,Pachuca,93,Centrocampista
6,Yoshimar Yotún ,Cruz Azul,89,Centrocampista
7,Luis Montes ,León FC,87,Centrocampista
8,Brian Lozano ,Santos Laguna,86,Centrocampista
9,Raúl López ,Pachuca,85,Defensa
10,Diego Valdés ,Santos Laguna,77,Centrocampista
11,Barrera ,Pumas,76,Delantero
12,Brian Fernández ,Necaxa,75,Centrocampista
13,Adrián Aldrete ,Cruz Azul,74,Defensa
14,Edison Flores ,Monarcas,73,Centrocampista
15,Luis Quiñónes ,Tigres,69,Delantero
16,Jesus Isijara ,Atlas,65,Delantero
17,Rafael Carioca ,Tigres,64,Centrocampista
18,Alan Mozo ,Pumas,59,Defensa
19,Barrientos ,Toluca,58,Centrocampista
20,Bryan Carrasco ,Veracruz,56,Centrocampista
