Ranking,Jugador,Equipo,Total,Posicion
1,Aldo Rocha ,Monarcas,539,Centrocampista
2,Guido Pizarro ,Tigres,464,Centrocampista
3,Rodrigo Millar ,Monarcas,429,Centrocampista
4,Luis Montes ,León FC,416,Centrocampista
5,Jesús Dueñas ,Tigres,404,Centrocampista
6,Jorge Hernández ,Pachuca,402,Centrocampista
7,William Tesillo ,León FC,386,Defensa
7,Luis Rodríguez ,Tigres,386,Centrocampista
8,Pedro Aquino ,León FC,364,Centrocampista
9,Claudio Baeza ,Necaxa,363,Centrocampista
9,Aboagye ,Gallos Blancos,363,Centrocampista
10,Cabral ,Pachuca,361,Defensa
11,Fernando Beltrán ,Chivas,348,Centrocampista
12,Ismael Govea ,Atlas,345,Defensa
13,Rafael Carioca ,Tigres,341,Centrocampista
14,Fernando Gorriarán ,Santos Laguna,339,Centrocampista
15,Hugo Ayala ,Tigres,337,Defensa
15,Oscar Murillo ,Pachuca,337,Defensa
16,Javier Salas ,Puebla,334,Centrocampista
17,Jaime Gómez ,Gallos Blancos,330,Centrocampista
