Ranking,Jugador,Equipo,Total,Posicion
1,Fernando Gorriarán ,Santos Laguna,70,Centrocampista
2,Brian Lozano ,Santos Laguna,69,Centrocampista
3,Claudio Baeza ,Necaxa,67,Centrocampista
4,Darío Lezcano ,Bravos,64,Delantero
5,Luis Montes ,León FC,60,Centrocampista
5,Erick Aguirre ,Pachuca,60,Centrocampista
6,Luis Quiñónes ,Tigres,59,Delantero
7,Alan Mozo ,Pumas,57,Defensa
8,Jeison Lucumí ,Gallos Blancos,56,Delantero
8,Sambueza ,Pachuca,56,Centrocampista
9,Isaac Brizuela ,Chivas,55,Centrocampista
9,Leonardo Fernández ,Toluca,55,Centrocampista
10,Juan Delgado ,Necaxa,54,Delantero
11,Richard Sánchez ,América,53,Centrocampista
12,Luis Reyes ,Atlético San Luis,52,Defensa
12,Marcel Ruiz ,Gallos Blancos,52,Centrocampista
13,Ignacio Rivero ,Xolos,51,Centrocampista
14,Ángel Mena ,León FC,50,Centrocampista
15,Stefan Medina ,Rayados,49,Defensa
16,Gerardo Daniel Arteaga Zamora ,Santos Laguna,48,Defensa
