Ranking,Jugador,Equipo,Total,Posicion
1,Brian Lozano ,Santos Laguna,27,Centrocampista
2,Barrera ,Pumas,26,Delantero
3,Leonardo Fernández ,Toluca,23,Centrocampista
4,Sambueza ,Pachuca,22,Centrocampista
4,Richard Sánchez ,América,22,Centrocampista
5,Jefferson Intriago ,Bravos,19,Centrocampista
6,Elias Hernández ,Cruz Azul,18,Centrocampista
7,Dorlan Pabón ,Rayados,17,Delantero
7,Martín Rodríguez ,Monarcas,17,Centrocampista
7,Miguel Layún ,Rayados,17,Defensa
8,Matías Catalán ,Atlético San Luis,16,Defensa
9,Osvaldo Martínez ,Puebla,14,Centrocampista
9,Luis Reyes ,Atlético San Luis,14,Defensa
10,Luis Montes ,León FC,12,Centrocampista
10,Diego Valdés ,Santos Laguna,12,Centrocampista
11,Luis Mendoza ,Monarcas,11,Delantero
11,Luis Quiñónes ,Tigres,11,Delantero
11,Daniel Alvarez ,Necaxa,11,Delantero
11,Fabian Castillo ,Gallos Blancos,11,Centrocampista
12,Mauro Lainez ,Xolos,10,Centrocampista
