Ranking,Jugador,Equipo,Total,Posicion
1,Mauro Fernández ,Bravos,9,Delantero
2,Sebastian Saucedo ,Pumas,8,Centrocampista
3,Leonardo Ramos ,León FC,7,Delantero
3,Mauro Lainez ,Xolos,7,Centrocampista
3,Barrera ,Pumas,7,Delantero
3,Roberto Alvarado ,Cruz Azul,7,Centrocampista
3,Eduardo Aguirre ,Santos Laguna,7,Delantero
4,Santiago Giménez ,Cruz Azul,6,Delantero
4,Fabio Álvarez ,Pumas,6,Centrocampista
4,Dorlan Pabón ,Rayados,6,Delantero
4,Daniel Alvarez ,Necaxa,6,Delantero
4,Camilo Sanvezzo ,Xolos,6,Delantero
4,Kazim-Richards ,Pachuca,6,Delantero
4,Julio César ,Santos Laguna,6,Delantero
4,Marcel Ruiz ,Gallos Blancos,6,Centrocampista
4,Carlos Rodríguez ,Rayados,6,Centrocampista
5,Jonathan Rodríguez ,Cruz Azul,5,Delantero
5,Luis Chavez ,Pachuca,5,Centrocampista
5,Ángel Márquez ,Atlas,5,Centrocampista
5,Luis Mendoza ,Monarcas,5,Delantero
