Ranking,Jugador,Equipo,Total,Posicion
1,Ochoa ,América,46,Portero
2,Nicolás Vikonis ,Puebla,41,Portero
3,Talavera ,Toluca,39,Portero
4,Alfredo Saldívar ,Pumas,37,Portero
5,Jonathan Orozco ,Santos Laguna,28,Portero
5,Edmundo Vázquez ,Bravos,28,Portero
6,Guzmán ,Tigres,27,Portero
7,Gil Alcalá ,Gallos Blancos,26,Portero
7,Corona ,Cruz Azul,26,Portero
8,Camilo Vargas ,Atlas,25,Portero
8,Ustari ,Pachuca,25,Portero
8,Marcelo Barovero ,Rayados,25,Portero
9,Hugo González ,Necaxa,24,Portero
10,Carlos Rodriguez ,Atlético San Luis,23,Portero
11,Rodolfo Cota ,León FC,22,Portero
12,Toño Rodríguez ,Chivas,21,Portero
13,Lajud ,Xolos,19,Portero
14,Alfonso Blanco ,Pachuca,17,Portero
15,Sebastián Sosa ,Monarcas,15,Portero
16,Luis Malagón ,Monarcas,14,Portero
