Ranking,Jugador,Equipo,Total,Posicion
1,Nicolás Vikonis ,Puebla,266,Portero
2,Edmundo Vázquez ,Bravos,217,Portero
3,Alfredo Saldívar ,Pumas,212,Portero
4,Camilo Vargas ,Atlas,189,Portero
5,Ochoa ,América,187,Portero
6,Corona ,Cruz Azul,176,Portero
7,Jonathan Orozco ,Santos Laguna,167,Portero
8,Gil Alcalá ,Gallos Blancos,155,Portero
9,Toño Rodríguez ,Chivas,153,Portero
10,Carlos Rodriguez ,Atlético San Luis,147,Portero
11,Lajud ,Xolos,133,Portero
12,Talavera ,Toluca,128,Portero
13,Guzmán ,Tigres,111,Portero
14,Marcelo Barovero ,Rayados,101,Portero
15,Luis Reyes ,Atlético San Luis,94,Defensa
16,William Tesillo ,León FC,93,Defensa
17,Fernando León ,Atlético San Luis,90,Defensa
18,Ustari ,Pachuca,88,Portero
19,González Pirez ,Xolos,86,Defensa
20,Nicolás Sánchez ,Rayados,84,Defensa
