Ranking,Jugador,Equipo,Total,Posicion
1,Aldo Rocha ,Monarcas,285,Centrocampista
2,Rodrigo Millar ,Monarcas,255,Centrocampista
3,Luis Montes ,León FC,248,Centrocampista
4,Sambueza ,Pachuca,244,Centrocampista
5,Ángel Mena ,León FC,225,Centrocampista
6,Jesús Dueñas ,Tigres,220,Centrocampista
7,Guido Pizarro ,Tigres,219,Centrocampista
8,Fernando Beltrán ,Chivas,214,Centrocampista
9,Carlos Rodríguez ,Rayados,209,Centrocampista
10,Luis Rodríguez ,Tigres,206,Centrocampista
11,Jorge Hernández ,Pachuca,204,Centrocampista
11,Richard Sánchez ,América,204,Centrocampista
12,Fernando Gorriarán ,Santos Laguna,203,Centrocampista
13,Luis Reyes ,Atlético San Luis,196,Defensa
14,Jefferson Intriago ,Bravos,195,Centrocampista
15,Rafael Carioca ,Tigres,191,Centrocampista
16,Aboagye ,Gallos Blancos,189,Centrocampista
17,Miller Bolaños ,Xolos,188,Centrocampista
18,Erick Aguirre ,Pachuca,187,Centrocampista
19,Brian Lozano ,Santos Laguna,186,Centrocampista
