Ranking,Jugador,Equipo,Total,Posicion
1,Oscar Murillo ,Pachuca,32,Defensa
2,Johan Vásquez ,Pumas,24,Defensa
3,Alejandro Mayorga ,Pumas,23,Defensa
3,Ulises Rivas ,Santos Laguna,23,Centrocampista
4,Maximiliano Perg ,Puebla,21,Defensa
4,Joaquín Esquivel ,Bravos,21,Defensa
4,Luis Quintana ,Pumas,21,Defensa
4,Fernando Gorriarán ,Santos Laguna,21,Centrocampista
5,Luis Fuentes ,América,20,Defensa
5,Nicolás Sánchez ,Rayados,20,Defensa
5,Cabral ,Pachuca,20,Defensa
6,Gerardo Daniel Arteaga Zamora ,Santos Laguna,18,Defensa
6,German Conti ,Atlas,18,Defensa
6,Dionicio Escalante ,Atlético San Luis,18,Defensa
6,Jesús Molina ,Chivas,18,Centrocampista
6,Emanuel Aguilera ,América,18,Defensa
6,Miguel Barbieri ,Xolos,18,Defensa
7,Doria ,Santos Laguna,17,Defensa
7,González Pirez ,Xolos,17,Defensa
7,Gilberto Sepúlveda ,Chivas,17,Defensa
