Ranking,Jugador,Equipo,Total,Posicion
1,Sebastián Sosa ,Monarcas,6,Portero
1,Alfredo Saldívar ,Pumas,6,Portero
2,Gil Alcalá ,Gallos Blancos,5,Portero
2,Talavera ,Toluca,5,Portero
2,Camilo Vargas ,Atlas,5,Portero
3,Toño Rodríguez ,Chivas,4,Portero
4,Jonathan Orozco ,Santos Laguna,3,Portero
4,Corona ,Cruz Azul,3,Portero
4,Rodolfo Cota ,León FC,3,Portero
5,Alfonso Blanco ,Pachuca,2,Portero
5,Guzmán ,Tigres,2,Portero
5,Carlos Rodriguez ,Atlético San Luis,2,Portero
5,Edmundo Vázquez ,Bravos,2,Portero
5,Nicolás Vikonis ,Puebla,2,Portero
6,Carlos Alberto Higuera ,Xolos,1,Portero
6,Luis Malagón ,Monarcas,1,Portero
6,Marcelo Barovero ,Rayados,1,Portero
