Ranking,Jugador,Equipo,Total,Posicion
1,Brian Lozano ,Santos Laguna,82,Centrocampista
2,Leonardo Fernández ,Toluca,56,Centrocampista
3,Sambueza ,Pachuca,50,Centrocampista
3,Miguel Layún ,Rayados,50,Defensa
4,Dorlan Pabón ,Rayados,49,Delantero
4,Luis Reyes ,Atlético San Luis,49,Defensa
5,Barrera ,Pumas,44,Delantero
6,Fabian Castillo ,Gallos Blancos,42,Centrocampista
7,Jefferson Intriago ,Bravos,40,Centrocampista
8,Elias Hernández ,Cruz Azul,38,Centrocampista
8,Martín Rodríguez ,Monarcas,38,Centrocampista
8,Víctor Malcorra ,Pumas,38,Centrocampista
9,Osvaldo Martínez ,Puebla,36,Centrocampista
9,Luis Quiñónes ,Tigres,36,Delantero
10,Luis Mendoza ,Monarcas,35,Delantero
11,Cándido Ramírez ,Monarcas,31,Centrocampista
12,Jesús Gallardo ,Rayados,30,Centrocampista
13,Matías Catalán ,Atlético San Luis,29,Defensa
14,Richard Sánchez ,América,28,Centrocampista
15,Anibal Chala ,Toluca,27,Defensa
